Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Net Carbs (g),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2026-02-28,16:17 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-02-28,16:17 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-02-28,16:17 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-02-28,16:17 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-02-28,16:17 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-02-28,16:17 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-02-28,16:17 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-02-28,16:17 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-02-28,16:17 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-02-28,16:17 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-02-28,16:17 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-02-28,16:18 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-02-28,16:18 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-02-28,16:19 ,"Snacks","Kirkland Signature, Stir-Fry Vegetable Blend","225.00 g",84.68,,,,,,,,,,,,,641.13,53.23,0.00,,,75.00,,0.00,,,,508.06,,36.29,,12.10,16.94,4.84,,,,4.84,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,4.84,,,,,"Vegetables and Vegetable Products"
2026-03-13,16:15 ,"Lunch","Cheater shake + MCT","1.00 full recipe",1725.00,0.00,0.00,0.00,0.00,1077.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.49,0.00,3.71,53.86,0.00,0.00,706.14,5.39,897.59,0.00,174.72,195.33,20.62,0.00,0.00,0.00,12.88,27.37,0.00,0.00,0.00,16.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.77,0.00,0.00,0.00,0.00,""
2026-03-13,15:53 ,"Uncategorized","Workout Shake High Carb","1.00 full recipe",690.00,0.00,0.00,,,1020.58,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,20.21,,0.00,171.03,,0.00,420.00,5.10,2040.21,0.00,106.00,106.00,0.00,,,0.00,2.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,,,,,,,,65.00,,0.00,,,""
2026-03-15,13:25 ,"Lunch","Scalable cheater shake","1.00 full recipe",1195.59,,,,,,,,,,,,,,,0.00,,,45.52,,3.79,,,,688.99,,522.75,,126.81,143.16,16.36,,,,12.83,11.02,0.00,,,2.80,0.00,,,,,,,,,,,,,,,130.48,,,,,""
2026-03-15,18:25 ,"Dinner","Big Kevin","1.00 full recipe",1203.41,,,,,405.06,0.32,0.53,2.90,2.60,0.79,,285.76,693.73,421.57,0.00,3.54,460.85,273.46,0.22,10.46,95.25,0.95,299.37,3405.19,11.34,2163.41,1.86,164.67,181.35,16.67,,,,17.34,15.68,165.00,0.14,0.51,5.02,0.00,0.29,,,,0.22,,,0.13,0.27,0.36,0.59,0.61,0.17,0.53,94.01,0.40,0.15,0.23,0.57,""
2026-03-15,16:26 ,"Uncategorized","Beef, Loin, Strip Loin, New York Steak, Boneless, Lean, Cooked, Broiled","6.00 oz",355.50,0.00,0.00,,,99.64,0.12,0.72,15.12,1.79,0.54,4.17,11.91,3.40,0.00,5.10,0.56,2.72,23.81,0.17,5.00,34.02,0.02,467.77,639.57,45.93,103.76,11.99,0.00,0.00,0.00,,,0.00,0.00,12.66,120.77,6.36,0.60,5.56,0.48,,0.03,0.00,0.00,,0.00,0.37,0.55,2.04,2.56,4.72,5.28,1.46,2.19,55.43,2.58,0.62,2.05,2.71,"Beef Products"
2026-03-17,06:30 ,"Breakfast","Workout shake heavy","1.00 full recipe",680.00,0.00,0.00,,,1020.58,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,30.21,,0.00,171.03,,0.00,460.00,5.10,2220.21,0.00,105.00,105.00,0.00,,,100.00,1.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,,,,,,,,60.00,,0.00,,,""
2026-03-17,09:29 ,"Breakfast","Scalable cheater shake","1.00 full recipe",1195.59,,,,,,,,,,,,,,,0.00,,,45.52,,3.79,,,,688.99,,522.75,,126.81,143.16,16.36,,,,12.83,11.02,0.00,,,2.80,0.00,,,,,,,,,,,,,,,130.48,,,,,""
2026-03-17,16:27 ,"Uncategorized","Met-Rx Big 100 Bar, Crispy Apple Pie","1.00 bar - each 3.5 oz",382.82,0.00,0.00,32.93,380.24,8.84,0.45,0.51,6.00,3.00,0.60,1.80,166.38,449.39,18.00,0.16,4.41,2.25,150.00,1.00,3.60,27.73,0.54,200.00,150.00,2.00,390.07,5.25,44.37,48.42,1.96,1.89,0.07,10.60,29.13,10.16,0.21,2.85,0.85,5.92,0.03,0.10,0.10,0.00,0.00,0.74,0.00,0.74,0.40,0.78,1.50,2.47,1.99,0.43,1.53,31.04,1.17,0.43,1.08,1.46,"Snacks"
2026-03-17,16:28 ,"Uncategorized","Met-Rx Big 100 Bar, Super Cookie Crunch","1.00 bar - each 3.5 oz",391.05,0.00,19.30,62.16,415.87,8.72,0.38,0.51,5.00,2.50,0.50,1.50,140.14,374.93,15.00,7.04,4.32,4.68,200.00,1.00,4.50,32.00,0.61,300.00,390.00,2.50,320.18,5.25,39.24,42.48,3.24,2.01,1.23,4.19,26.77,14.10,0.36,4.82,1.22,7.34,0.02,0.28,0.28,0.00,0.00,0.94,0.00,0.94,0.45,0.76,1.56,2.66,2.22,0.48,1.46,32.24,1.32,0.50,1.06,1.55,"Snacks"
2026-03-18,13:25 ,"Lunch","Scalable cheater shake","1.00 full recipe",1195.59,,,,,,,,,,,,,,,0.00,,,45.52,,3.79,,,,688.99,,522.75,,126.81,143.16,16.36,,,,12.83,11.02,0.00,,,2.80,0.00,,,,,,,,,,,,,,,130.48,,,,,""
2026-03-18,18:25 ,"Dinner","Big Kevin","1.00 full recipe",1203.41,,,,,405.06,0.32,0.53,2.90,2.60,0.79,,285.76,693.73,421.57,0.00,3.54,460.85,273.46,0.22,10.46,95.25,0.95,299.37,3405.19,11.34,2163.41,1.86,164.67,181.35,16.67,,,,17.34,15.68,165.00,0.14,0.51,5.02,0.00,0.29,,,,0.22,,,0.13,0.27,0.36,0.59,0.61,0.17,0.53,94.01,0.40,0.15,0.23,0.57,""
2026-03-18,16:26 ,"Uncategorized","Beef, Loin, Strip Loin, New York Steak, Boneless, Lean, Cooked, Broiled","6.00 oz",355.50,0.00,0.00,,,99.64,0.12,0.72,15.12,1.79,0.54,4.17,11.91,3.40,0.00,5.10,0.56,2.72,23.81,0.17,5.00,34.02,0.02,467.77,639.57,45.93,103.76,11.99,0.00,0.00,0.00,,,0.00,0.00,12.66,120.77,6.36,0.60,5.56,0.48,,0.03,0.00,0.00,,0.00,0.37,0.55,2.04,2.56,4.72,5.28,1.46,2.19,55.43,2.58,0.62,2.05,2.71,"Beef Products"
2026-03-19,06:23 ,"Breakfast","Cheater shake + MCT","1.00 full recipe",1725.00,0.00,0.00,0.00,0.00,1077.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.49,0.00,3.71,53.86,0.00,0.00,706.14,5.39,897.59,0.00,174.72,195.33,20.62,0.00,0.00,0.00,12.88,27.37,0.00,0.00,0.00,16.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.77,0.00,0.00,0.00,0.00,""
2026-03-19,13:24 ,"Lunch","Workout shake heavy","1.00 full recipe",680.00,0.00,0.00,,,1020.58,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,30.21,,0.00,171.03,,0.00,460.00,5.10,2220.21,0.00,105.00,105.00,0.00,,,100.00,1.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,,,,,,,,60.00,,0.00,,,""
2026-03-19,13:24 ,"Lunch","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-19,13:24 ,"Lunch","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-19,13:24 ,"Lunch","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-19,13:25 ,"Lunch","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-19,13:25 ,"Lunch","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-19,13:25 ,"Lunch","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-19,13:25 ,"Lunch","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-19,13:25 ,"Lunch","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-19,13:25 ,"Lunch","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-19,13:25 ,"Lunch","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-19,13:25 ,"Lunch","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-20,04:06 ,"Breakfast","Workout shake heavy","1.00 full recipe",680.00,0.00,0.00,,,1020.58,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,30.21,,0.00,171.03,,0.00,460.00,5.10,2220.21,0.00,105.00,105.00,0.00,,,100.00,1.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,,,,,,,,60.00,,0.00,,,""
2026-03-20,15:15 ,"Lunch","Cheater shake + MCT","1.00 full recipe",1725.00,0.00,0.00,0.00,0.00,1077.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.49,0.00,3.71,53.86,0.00,0.00,706.14,5.39,897.59,0.00,174.72,195.33,20.62,0.00,0.00,0.00,12.88,27.37,0.00,0.00,0.00,16.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.77,0.00,0.00,0.00,0.00,""
2026-03-20,19:08 ,"Dinner","Bedtime yogurt","1.00 full recipe",484.13,0.00,0.00,2.17,1.45,380.84,0.11,1.26,1.09,1.52,0.31,3.38,30.49,146.24,19.58,0.00,0.27,0.85,507.66,0.11,1.94,53.16,0.07,617.03,766.68,43.79,211.32,2.38,51.03,55.95,4.86,0.50,0.22,0.73,42.88,10.52,44.85,0.19,0.06,5.17,0.02,0.01,0.01,0.00,0.00,0.05,0.00,0.05,0.00,0.01,0.01,0.02,0.01,0.00,0.01,46.47,0.01,0.01,0.00,0.01,""
